name,year,BEN,CO,EBE,MXY,NMHC,NO_2,NOx,OXY,O_3,PM10,PXY,SO_2,TCH,TOL,station,id,lon,lat,elevation,PM25,NO,CH4
Escuelas Aguirre,2001,4.877650082600194,1.0579651406744985,3.708892337977886,,,74.07762228349411,158.7408735161136,,26.591568285331984,39.07787103642166,,14.590616436987187,,15.027989728051283,28079008.0,28079008.0,-3.6823194444444445,40.42156388888888,670.0,,,
Escuelas Aguirre,2002,,1.1679019589342323,,,0.31880157231947875,74.66278431088317,194.0826471384834,,13.106523034977384,35.46083332744299,,18.410666627042435,1.5763752465749301,,28079008.0,28079008.0,-3.682319444444445,40.42156388888888,670.0,,,
Escuelas Aguirre,2003,1.1958679671893557,0.7949690996490386,1.6754045606388375,,0.13230539949839945,74.62626916632605,147.32925154672222,,30.54475236473085,33.03664185106413,,15.562306187890805,1.4353421970093234,9.399327194218262,28079008.0,28079008.0,-3.682319444444445,40.42156388888888,670.0,,,
Escuelas Aguirre,2004,1.0960326348576859,0.7312604174543589,1.6577509884914956,,0.12040156476905159,76.47974700774884,149.60026904468066,,28.665820838498888,32.61251260172977,,13.97862455916904,1.4517579371348757,9.285048380415956,28079008.0,28079008.0,-3.682319444444445,40.42156388888888,670.0,,,
Escuelas Aguirre,2005,0.42596795915153823,0.6172607638235114,0.9738095819191039,,0.17703514064000886,76.74217480935843,139.78132867020506,,29.579618635253574,32.90484906261266,,13.293280214845494,1.5389850181010996,3.841597666146476,28079008.0,28079008.0,-3.682319444444445,40.42156388888888,670.0,,,
Escuelas Aguirre,2006,0.31552223397324813,0.5361409927190756,0.7734949655779988,,0.234169377012959,72.09141434150936,131.80533322575874,,30.382188099703807,41.11491601039131,,12.115443512819528,1.474968632911661,4.662248431613819,28079008.0,28079008.0,-3.682319444444445,40.42156388888888,670.0,,,
Escuelas Aguirre,2007,0.6206456185463363,0.531078361842716,1.1341931679697423,,0.25014496160760014,68.42645979539734,125.47205706422449,,28.825034772197967,34.88895339391266,,13.11314452633375,1.4204726785585255,6.566428914176029,28079008.0,28079008.0,-3.682319444444445,40.42156388888888,670.0,,,
Escuelas Aguirre,2008,0.5274404405964972,0.4573870213428212,1.1116248929071708,,0.21052607026476497,63.29520202340923,105.03609731502979,,32.33178847465506,27.257879180189978,,12.40799165700399,1.3798121997749153,5.6934757091167905,28079008.0,28079008.0,-3.682319444444445,40.42156388888888,670.0,,,
Escuelas Aguirre,2009,0.5411895059122984,0.4223279208711566,1.1118642889971748,,0.17581518005786428,54.24038063810113,93.52923894887667,,40.289129592428,28.17121094634926,,11.974963377531074,1.421405641290743,5.442725672247559,28079008.0,28079008.0,-3.682319444444445,40.42156388888888,670.0,15.585184697368488,,
Escuelas Aguirre,2010,0.8802482756595502,0.4078889396648551,2.3410050663492346,,0.16241849692635277,54.36305460927129,89.23381226830442,,38.84958709419724,27.24289589498426,,10.16676545165036,1.3980483283802516,4.549636512977571,28079008.0,28079008.0,-3.682319444444445,40.42156388888888,670.0,13.493089738452927,,
