,day,month,year,name,Cigarettes
195,2004-07-24,7,2004,Cuatro Caminos,5.251742391875296
196,2004-07-25,7,2004,Casa de Campo,1.4037878423026113
197,2004-07-25,7,2004,Cuatro Caminos,2.6593048177300926
198,2004-07-26,7,2004,Casa de Campo,0.6470643896045106
199,2004-07-26,7,2004,Cuatro Caminos,1.2334091013128108
200,2004-07-27,7,2004,Casa de Campo,0.8234585000592258
201,2004-07-27,7,2004,Cuatro Caminos,1.128121214201956
202,2004-07-28,7,2004,Casa de Campo,0.9313636187351112
203,2004-07-28,7,2004,Cuatro Caminos,1.9332575653538557
204,2004-07-29,7,2004,Casa de Campo,1.170643923860608
205,2004-07-29,7,2004,Cuatro Caminos,1.7499545487490569
206,2004-07-30,7,2004,Casa de Campo,1.201344699570627
207,2004-07-30,7,2004,Cuatro Caminos,2.2284545291553846
208,2004-07-31,7,2004,Casa de Campo,1.1169128743084993
209,2004-08-01,8,2004,Casa de Campo,0.9883901467829039
210,2004-08-02,8,2004,Casa de Campo,0.827973484992981
211,2004-08-02,8,2004,Cuatro Caminos,2.019628083410342
212,2004-08-03,8,2004,Casa de Campo,0.6230735889760963
213,2004-08-03,8,2004,Cuatro Caminos,1.3876190546787146
214,2004-08-04,8,2004,Casa de Campo,0.37909091151121893
215,2004-08-04,8,2004,Cuatro Caminos,0.7113447008710919
216,2004-08-05,8,2004,Casa de Campo,0.7774052999236366
217,2004-08-05,8,2004,Cuatro Caminos,1.0928977113781555
218,2004-08-06,8,2004,Casa de Campo,0.7017045436483441
219,2004-08-06,8,2004,Cuatro Caminos,1.1591666684006199
220,2004-08-07,8,2004,Casa de Campo,0.6843560608950527
221,2004-08-07,8,2004,Cuatro Caminos,1.0566098437164768
222,2004-08-08,8,2004,Casa de Campo,0.6414583189920945
223,2004-08-08,8,2004,Cuatro Caminos,0.9561363643769062
224,2004-08-09,8,2004,Casa de Campo,0.27041501937647583
225,2004-08-09,8,2004,Cuatro Caminos,0.5400988155674086
226,2004-08-10,8,2004,Casa de Campo,0.2536174235018817
227,2004-08-10,8,2004,Cuatro Caminos,0.41890151595527475
228,2004-08-11,8,2004,Casa de Campo,0.33770833412806195
229,2004-08-11,8,2004,Cuatro Caminos,0.6308522685007615
230,2004-08-12,8,2004,Casa de Campo,0.3091666666847287
231,2004-08-12,8,2004,Cuatro Caminos,0.4370643923228437
232,2004-08-13,8,2004,Casa de Campo,0.4671861506127692
233,2004-08-13,8,2004,Cuatro Caminos,0.7559469721534035
234,2004-08-14,8,2004,Casa de Campo,0.49850378614483454
235,2004-08-14,8,2004,Cuatro Caminos,0.730303027413108
236,2004-08-15,8,2004,Casa de Campo,0.5819318186153065
237,2004-08-15,8,2004,Cuatro Caminos,0.9132765197392666
238,2004-08-16,8,2004,Casa de Campo,0.280833334182248
239,2004-08-16,8,2004,Cuatro Caminos,0.49392045763405884
240,2004-08-17,8,2004,Casa de Campo,0.2450946962291544
241,2004-08-17,8,2004,Cuatro Caminos,0.4052840923946915
242,2004-08-18,8,2004,Casa de Campo,0.3492045483805917
243,2004-08-18,8,2004,Cuatro Caminos,0.6062121210676251
244,2004-08-19,8,2004,Casa de Campo,0.31217803196473554
245,2004-08-19,8,2004,Cuatro Caminos,0.40882575737707544
246,2004-08-20,8,2004,Casa de Campo,0.28905303008628613
247,2004-08-20,8,2004,Cuatro Caminos,0.41431817999391846
248,2004-08-21,8,2004,Casa de Campo,0.38935606046156446
249,2004-08-21,8,2004,Cuatro Caminos,0.49655302726861206
250,2004-08-22,8,2004,Casa de Campo,0.6442234841260043
251,2004-08-22,8,2004,Cuatro Caminos,1.0206249898130244
252,2004-08-23,8,2004,Casa de Campo,0.8952840982061444
253,2004-08-23,8,2004,Cuatro Caminos,1.3329734766122066
254,2004-08-24,8,2004,Casa de Campo,1.0249810634237349
255,2004-08-24,8,2004,Cuatro Caminos,2.0319886216611573
256,2004-08-25,8,2004,Casa de Campo,0.5908712166728395
257,2004-08-25,8,2004,Cuatro Caminos,1.0916798444604685
258,2004-08-26,8,2004,Casa de Campo,0.6694507580814939
259,2004-08-26,8,2004,Cuatro Caminos,1.2021590886694014
260,2004-08-27,8,2004,Casa de Campo,0.7793371225848342
261,2004-08-27,8,2004,Cuatro Caminos,1.1519128752477241
262,2004-08-28,8,2004,Casa de Campo,0.6541287899017334
263,2004-08-28,8,2004,Cuatro Caminos,0.9959280310255109
264,2004-08-29,8,2004,Casa de Campo,0.806477270343087
265,2004-08-29,8,2004,Cuatro Caminos,1.0539583283843417
266,2004-08-30,8,2004,Casa de Campo,0.7241856076500631
267,2004-08-30,8,2004,Cuatro Caminos,1.0842803052880547
268,2004-08-31,8,2004,Casa de Campo,0.5950378816236149
269,2004-08-31,8,2004,Cuatro Caminos,1.0727651489503456
270,2004-09-01,9,2004,Casa de Campo,0.7683143877621853
271,2004-09-01,9,2004,Cuatro Caminos,1.5023295445875686
272,2004-09-02,9,2004,Casa de Campo,0.711155304403016
273,2004-09-02,9,2004,Cuatro Caminos,1.245578509716948
274,2004-09-03,9,2004,Casa de Campo,0.7437121145653002
275,2004-09-03,9,2004,Cuatro Caminos,1.2736931678020593
276,2004-09-04,9,2004,Casa de Campo,1.1253409078626921
277,2004-09-04,9,2004,Cuatro Caminos,1.7341666582858923
278,2004-09-05,9,2004,Casa de Campo,1.012499993497675
279,2004-09-05,9,2004,Cuatro Caminos,1.0875568164117408
280,2004-09-06,9,2004,Casa de Campo,0.6282386382420858
281,2004-09-06,9,2004,Cuatro Caminos,1.0827083307685275
282,2004-09-07,9,2004,Casa de Campo,0.8446694169162718
283,2004-09-07,9,2004,Cuatro Caminos,1.2072933902425214
284,2004-09-08,9,2004,Casa de Campo,1.2492234779126716
285,2004-09-08,9,2004,Cuatro Caminos,1.5303787823879358
286,2004-09-09,9,2004,Casa de Campo,1.1731250033234104
287,2004-09-09,9,2004,Cuatro Caminos,1.4220454548344466
288,2004-09-10,9,2004,Casa de Campo,0.9245265180414374
289,2004-09-10,9,2004,Cuatro Caminos,1.5592234821030588
290,2004-09-11,9,2004,Casa de Campo,0.7615340839732777
291,2004-09-11,9,2004,Cuatro Caminos,1.38339015751174
292,2004-09-12,9,2004,Casa de Campo,0.5224999947981401
293,2004-09-12,9,2004,Cuatro Caminos,0.898484847762368
294,2004-09-13,9,2004,Casa de Campo,0.709526518980662
295,2004-09-13,9,2004,Cuatro Caminos,1.434412874958732
296,2004-09-14,9,2004,Casa de Campo,0.4428030315673713
297,2004-09-14,9,2004,Cuatro Caminos,1.1240340886694014
298,2004-09-15,9,2004,Casa de Campo,0.23630682108077136
299,2004-09-15,9,2004,Cuatro Caminos,0.9170643929956537
300,2004-09-16,9,2004,Casa de Campo,0.344507578647498
301,2004-09-16,9,2004,Cuatro Caminos,1.161174251274629
302,2004-09-17,9,2004,Casa de Campo,0.8642344497607656
303,2004-09-17,9,2004,Cuatro Caminos,1.8387310685533464
304,2004-09-18,9,2004,Casa de Campo,0.9467424316839739
305,2004-09-18,9,2004,Cuatro Caminos,1.394621213277181
306,2004-09-19,9,2004,Casa de Campo,0.6062689360344048
307,2004-09-19,9,2004,Cuatro Caminos,0.9884659124143197
308,2004-09-20,9,2004,Casa de Campo,0.7528219665541793
309,2004-09-20,9,2004,Cuatro Caminos,1.6396969737428606
310,2004-09-21,9,2004,Casa de Campo,0.9271022713545597
311,2004-09-21,9,2004,Cuatro Caminos,1.7690530292915574
312,2004-09-22,9,2004,Casa de Campo,0.6549621143124321
313,2004-09-22,9,2004,Cuatro Caminos,1.3912499962431013
314,2004-09-23,9,2004,Casa de Campo,0.6038257624163772
315,2004-09-23,9,2004,Cuatro Caminos,1.2503977266676498
316,2004-09-24,9,2004,Casa de Campo,0.6557196992816346
317,2004-09-24,9,2004,Cuatro Caminos,1.5267424312504856
318,2004-09-25,9,2004,Casa de Campo,0.2626325777082732
319,2004-09-25,9,2004,Cuatro Caminos,0.513693183434732
320,2004-09-26,9,2004,Casa de Campo,0.34676136347380554
321,2004-09-26,9,2004,Cuatro Caminos,0.547140153520035
322,2004-09-27,9,2004,Casa de Campo,0.3600568197893374
323,2004-09-27,9,2004,Cuatro Caminos,1.0340340887055253
324,2004-09-28,9,2004,Casa de Campo,0.693744589240004
325,2004-09-28,9,2004,Cuatro Caminos,1.441666669917829
326,2004-09-29,9,2004,Casa de Campo,0.8032007578647499
327,2004-09-29,9,2004,Cuatro Caminos,1.9441856109734736
328,2004-09-30,9,2004,Casa de Campo,0.9556060577883865
329,2004-09-30,9,2004,Cuatro Caminos,2.2723484870159267
330,2004-10-01,10,2004,Casa de Campo,0.9733901457353071
331,2004-10-01,10,2004,Cuatro Caminos,2.0940530264016353
332,2004-10-02,10,2004,Casa de Campo,0.9111931793617479
